sku_id,name,category,volume_cbm,weight_kg,flow_type,case_config,layer_config,pallet_config,is_active,ext_sku_id,ext_sku_config,buy_price
8366,Blue Bay Corned Tuna Hot & Spicy (150g) - Can,Canned Seafood,0.000250776,0.18,regular,50.0,13,8,true,742112,1,29.28
747,Mega Sardines Hot Easy Open Can (155g) - Can,Canned Seafood,0.000225,0.18,regular,100.0,6,5,true,107795,1,24.46
1380,555 Tuna Hot and Spicy Box of 50 (155g),Canned Seafood,0.000999999999,,regular,1.0,,,false,109530,1,1220.0
6627,Fresca Tuna Flakes Adobo (175g) - Can,Canned Seafood,0.0002590875,0.21,regular,48.0,,,true,329408,1,27.52
1217,Youngs Town Sardines Green Can - 425g,Canned Seafood,,,regular,1.0,,,false,YOU06,1,46.6
1412,San Marino Tuna Corned Chili Box of 48 (100g),Canned Seafood,0.000999999999,,regular,1.0,,,false,410477,1,1008.0
1882,Mega Tuna Flakes in Oil Box of 48 (155g),Canned Seafood,,,regular,1.0,,,false,540124,1,0.0
737,Master Sardines Red Can - 155g,Canned Seafood,,,regular,1.0,,,false,MAS03,1,18.05
1040,San Marino Tuna Corned Chili Can - 180g,Canned Seafood,,,regular,1.0,,,false,SAN15,1,38.35
6629,Fresca Tuna Flakes  Mechado (175g) - Can,Canned Seafood,0.0002590875,0.21,regular,48.0,,,true,329406,1,26.36
744,Mega Sardines Green Easy Open Can (155g) - Can,Canned Seafood,0.000225,0.18,regular,100.0,6,5,true,107788,1,24.22
653,Ligo Sardines Green Can (425g),Canned Seafood,0.000647,,regular,48.0,,,false,112669,1,46.25
11,555 Tuna Caldereta (155g) - Can,Canned Seafood,0.000235956,0.19,regular,50.0,0,0,true,109521,1,28.35
6779,[SAVER'S PACK] 555 Sardines Tomato Sauce Buy 5 Save P2.50 (155g) - Pack,Canned Seafood,0.001386,0.94,regular,20.0,,,true,728158,1,109.24
6287,[PROMO PACK] Tang Pineapple Tie of 12 + Tang Orange Tie of 6 Pack (19g) - Pack,Powdered Drink,0.001010625,0.43,regular,8.0,,,true,720685,1,276.28
4122,[PROMO PACK] NESTEA Lemon Blend Iced Tea 5+1 (20g) - Tie of 6,Powdered Drink,0.000540367833,0.18,regular,24.0,,,true,657824,1,92.85
1480,NESTEA Lemon Blend Iced Tea (19g) - Tie of 12,Powdered Drink,0.000958375,0.32,regular,12.0,0,0,true,337822,12,222.72
1479,NESTEA Apple Blend Iced Tea (19g) - Tie of 12,Powdered Drink,0.000958375,0.32,regular,12.0,0,0,true,432245,12,222.72
